country,pop2022,total_cases
Afghanistan,41128771,5.0
Albania,2842321,
Algeria,44903225,1.0
Andorra,79824,1.0
Angola,35588987,1.0
Anguilla,15857,2.0
Antigua and Barbuda,93763,1.0
Argentina,45510318,
Armenia,2780469,
Aruba,106445,2.0
Australia,26177413,4.0
Austria,8939617,2.0
Azerbaijan,10358074,3.0
Bahamas,409984,1.0
Bahrain,1472233,1.0
Bangladesh,171186372,
Barbados,281635,2.0
Belarus,9534954,1.0
Belgium,11655930,1.0
Belize,405272,1.0
Benin,13352864,1.0
Bermuda,64184,2.0
Bhutan,782455,1.0
Bolivia,12224110,2.0
Bosnia and Herzegovina,3233526,2.0
Botswana,2630296,3.0
Brazil,215313498,1.0
British Virgin Islands,31305,2.0
Brunei,449002,1.0
Bulgaria,6781953,4.0
Burkina Faso,22673762,1.0
Burundi,12889576,2.0
Cambodia,16767842,1.0
Cameroon,27914536,1.0
Canada,38454327,2.0
Cape Verde,593149,1.0
Cayman Islands,68706,1.0
Central African Republic,5579144,1.0
Chad,17723315,1.0
Chile,19603733,2.0
China,1425887337,547.0
Colombia,51874024,1.0
Comoros,836774,1.0
Cook Islands,17011,1.0
Costa Rica,5180829,1.0
Croatia,4030358,1.0
Cuba,11212191,3.0
Curacao,191163,1.0
Cyprus,1251488,
Denmark,5882261,
Djibouti,1120849,1.0
Dominica,72737,1.0
Dominican Republic,11228821,1.0
Ecuador,18001000,6.0
Egypt,110990103,1.0
El Salvador,6336392,1.0
Equatorial Guinea,1674908,1.0
Eritrea,3684032,1.0
Estonia,1326062,
Eswatini,1201670,1.0
Ethiopia,123379924,1.0
Falkland Islands,3780,1.0
Fiji,929766,
Finland,5540745,1.0
France,64626628,2.0
French Polynesia,306279,3.0
Gabon,2388992,1.0
Gambia,2705992,1.0
Georgia,3744385,1.0
Germany,83369843,1.0
Ghana,33475870,3.0
Gibraltar,32649,1.0
Greece,10384971,
Greenland,56466,1.0
Grenada,125438,1.0
Guatemala,17843908,
Guernsey,63301,
Guinea,13859341,1.0
Guinea-Bissau,2105566,2.0
Guyana,808726,1.0
Haiti,11584996,2.0
Honduras,10432860,2.0
Hong Kong,7488865,2.0
Hungary,9967308,
Iceland,372899,1.0
India,1417173173,1.0
Indonesia,275501339,2.0
Iran,88550570,2.0
Iraq,44496122,1.0
Ireland,5023109,1.0
Isle of Man,84519,1.0
Israel,9038309,
Italy,59037474,2.0
Jamaica,2827377,1.0
Japan,123951692,2.0
Jersey,110778,
Jordan,11285869,1.0
Kazakhstan,19397998,4.0
Kenya,54027487,
Kiribati,131232,1.0
Kuwait,4268873,1.0
Kyrgyzstan,6630623,3.0
Laos,7529475,2.0
Latvia,1850651,
Lebanon,5489739,1.0
Lesotho,2305825,1.0
Liberia,5302681,5.0
Libya,6812341,
Liechtenstein,39327,1.0
Lithuania,2750055,1.0
Luxembourg,647599,
Madagascar,29611714,3.0
Malawi,20405317,
Malaysia,33938221,
Maldives,523787,4.0
Mali,22593590,2.0
Malta,533286,
Marshall Islands,41569,2.0
Mauritania,4736139,1.0
Mauritius,1299469,3.0
Mexico,127504125,
Moldova,3272996,1.0
Monaco,36469,1.0
Mongolia,3398366,1.0
Montenegro,627082,2.0
Montserrat,4390,1.0
Morocco,37457971,
Mozambique,32969518,1.0
Myanmar,54179306,8.0
Namibia,2567012,2.0
Nauru,12668,
Nepal,30547580,1.0
Netherlands,17564014,1.0
New Caledonia,289950,2.0
New Zealand,5185288,1.0
Nicaragua,6948392,1.0
Niger,26207977,1.0
Nigeria,218541212,1.0
Niue,1934,
North Macedonia,2093599,1.0
Norway,5434319,
Oman,4576298,2.0
Pakistan,235824862,2.0
Palau,18055,1.0
Palestine,5250072,4.0
Panama,4408581,
Papua New Guinea,10142619,1.0
Paraguay,6780744,
Peru,34049588,1.0
Philippines,115559009,1.0
Poland,39857145,1.0
Portugal,10270865,
Qatar,2695122,1.0
Romania,19659267,1.0
Russia,144713314,2.0
Rwanda,13776698,1.0
Saint Kitts and Nevis,47657,2.0
Saint Lucia,179857,1.0
Saint Pierre and Miquelon,5862,1.0
Saint Vincent and the Grenadines,103948,1.0
Samoa,222382,1.0
San Marino,33660,1.0
Sao Tome and Principe,227380,4.0
Saudi Arabia,36408820,1.0
Senegal,17316449,
Serbia,7221365,
Seychelles,107118,6.0
